Source:,/home/andi/Andi/electronics/projects/FPGA_buffer_board/v1.3/FPGA_buffer_board.sch,,,
Date:,mer 10 mar 2021 15:15:05 CET,,,
Tool:,Eeschema 5.1.9-73d0e3b20d~88~ubuntu18.04.1,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py,,,
Component Count:,82,,,
Ref,Qnty,Value,Cmp name,Footprint
"C1, ",1,100uF,CP1,Capacitor_THT:CP_Radial_D8.0mm_P5.00mm
"C2, ",1,10uF Tantalum,CP1,Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder
"C3, C4, C5, C6, C9, C10, C11, C12, C13, C14, C15, C16, C17, ",13,100nF,C_Small,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
"C7, C8, ",2,10nF/short,C_Small,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder
"D1, ",1,error (red),LED_ALT,LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm
"D2, ",1,ok (green),LED_ALT,LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm
"D3, ",1,ext.clock (green),LED_ALT,LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm
"J1, ",1,I2C,Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
"J2, ",1,Conn_01x02,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
"J3, ",1,"IO8-15, IO34-41",Conn_02x08_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical
"J4, ",1,Conn_01x08,Conn_01x08,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical
"J5, ",1,Conn_01x04,Conn_01x04,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical
"J6, ",1,A0-A11,Conn_02x06_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Vertical
"J7, ",1,SPI,Conn_02x03_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical
"J8, ",1,"IO0-7, IO26-33",Conn_02x08_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical
"J9, ",1,Cora supply jack 2.1mm,Conn_01x02_Male,TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal
"J10, ",1,"+/-15V, 5V from rack",Conn_01x05_Male,Connector_JST:JST_VH_B5P-VH_1x05_P3.96mm_Vertical
"J11, ",1,Cora PMOD JB,Conn_02x06_Top_Bottom,my_footprints:PinHeader_2x06_P2.54mm_Vertical_SMD_PMOD
"J12, ",1,Cora PMOD JA,Conn_02x06_Top_Bottom,my_footprints:PinHeader_2x06_P2.54mm_Vertical_SMD_PMOD
"J13, ",1,daugther connector 2,Conn_02x25_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Vertical_SMD
"J14, ",1,rack bus,Conn_02x32_Row_Letter_First,my_footprints:rack_backplane_bus_2x32
"J15, ",1,daugther connector,Conn_02x25_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Vertical_SMD
"J16, ",1,clock in,Conn_Coaxial,my_footprints:SMA_RS_903-9388_EdgeMount
"J17, ",1,clock out,Conn_Coaxial,my_footprints:SMA_RS_903-9388_EdgeMount
"J18, ",1,in_0,Conn_Coaxial,my_footprints:SMA_RS_903-9388_EdgeMount
"J19, ",1,in_1,Conn_Coaxial,Connector_Coaxial:SMA_Amphenol_132134_Vertical
"J20, ",1,in_2,Conn_Coaxial,Connector_Coaxial:SMA_Amphenol_132134_Vertical
"J21, ",1,out_0,Conn_Coaxial,my_footprints:SMA_RS_903-9388_EdgeMount
"J22, ",1,out_1,Conn_Coaxial,Connector_Coaxial:SMA_Amphenol_132134_Vertical
"J23, ",1,out_2,Conn_Coaxial,Connector_Coaxial:SMA_Amphenol_132134_Vertical
"JP1, ",1,strobe select,SolderJumper_3_Bridged12,Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm
"JP2, ",1,bus enable,SolderJumper_3_Bridged12,Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm
"JP3, ",1,FILTA,SolderJumper_3_Bridged12,Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm
"JP4, ",1,FILTB,SolderJumper_3_Bridged12,Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm
