Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",230.224500,-89.408000,0.000000,bottom
"C4","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",230.224500,-72.644000,0.000000,bottom
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",230.224500,-111.252000,0.000000,bottom
"C6","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",230.224500,-132.842000,0.000000,bottom
"C7","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",153.262500,-106.045000,180.000000,bottom
"C8","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",140.970000,-105.182500,90.000000,bottom
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.792500,-90.678000,0.000000,bottom
"C10","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",205.232000,-71.982500,270.000000,bottom
"C11","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",201.067500,-112.522000,180.000000,bottom
"C12","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.792500,-134.112000,0.000000,bottom
"C13","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",125.349000,-123.544500,270.000000,bottom
"C16","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.304000,-135.863500,90.000000,bottom
"C17","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.654000,-135.863500,90.000000,bottom
"R1","510","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.000000,-98.060000,90.000000,bottom
"R2","510","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.825000,-98.060000,90.000000,bottom
"R3","510","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.175000,-100.060000,270.000000,bottom
"R10","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.650000,-98.060000,90.000000,bottom
"R11","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.350000,-98.060000,90.000000,bottom
"R12","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.525000,-98.060000,90.000000,bottom
"R21","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.452000,-69.723000,0.000000,bottom
"R23","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.452000,-67.310000,0.000000,bottom
"R25","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.452000,-64.770000,0.000000,bottom
"R27","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.452000,-62.230000,0.000000,bottom
"R36","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.496000,-137.668000,0.000000,bottom
"R37","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.496000,-135.763000,0.000000,bottom
"R40","110","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.655000,-136.779000,270.000000,bottom
"U1","74HCT541","SOIC-20W_7.5x12.8mm_P1.27mm",224.790000,-81.026000,0.000000,bottom
"U2","74HCT541","SOIC-20W_7.5x12.8mm_P1.27mm",224.790000,-64.135000,0.000000,bottom
"U3","74HCT541","SOIC-20W_7.5x12.8mm_P1.27mm",224.790000,-102.870000,0.000000,bottom
"U4","74HCT541","SOIC-20W_7.5x12.8mm_P1.27mm",224.790000,-124.460000,0.000000,bottom
"U7","74HCT541","SOIC-20W_7.5x12.8mm_P1.27mm",197.358000,-82.296000,0.000000,bottom
"U8","74HCT541","SOIC-20W_7.5x12.8mm_P1.27mm",197.485000,-65.405000,0.000000,bottom
"U9","74HCT541","SOIC-20W_7.5x12.8mm_P1.27mm",197.358000,-104.140000,0.000000,bottom
"U10","74HCT541","SOIC-20W_7.5x12.8mm_P1.27mm",197.358000,-125.730000,0.000000,bottom
