Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF Tantalum","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",154.660000,-64.770000,0.000000,top
"C14","10nF/short","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.499500,-136.144000,180.000000,top
"C15","10nF/short","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.499500,-138.684000,180.000000,top
"J10","Cora PMOD JB","PinHeader_2x06_P2.54mm_Vertical_SMD_PMOD",195.311000,-83.058000,0.000000,top
"J11","Cora PMOD JA","PinHeader_2x06_P2.54mm_Vertical_SMD_PMOD",195.311000,-105.410000,0.000000,top
"J13","bus out","PinHeader_2x25_P2.54mm_Vertical_SMD",224.805000,-96.520000,180.000000,top
"J15","in_0","SMA_RS_903-9388_EdgeMount",92.075000,-63.500000,180.000000,top
"J18","out_0","SMA_RS_903-9388_EdgeMount",92.075000,-77.470000,180.000000,top
"J21","daugther I/O","PinHeader_2x25_P2.54mm_Vertical_SMD",211.313000,-96.520000,180.000000,top
"J22","clock in","SMA_RS_903-9388_EdgeMount",92.075000,-135.890000,180.000000,top
"J23","clock out","SMA_RS_903-9388_EdgeMount",92.075000,-121.920000,180.000000,top
"R4","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.145000,-98.060000,90.000000,top
"R5","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.829000,-101.362000,90.000000,top
"R6","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.320000,-98.060000,90.000000,top
"R7","open","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.605000,-99.060000,0.000000,top
"R8","open","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.877000,-102.362000,180.000000,top
"R9","open","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.860000,-99.060000,180.000000,top
"R13","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",189.611000,-72.898000,270.000000,top
"R14","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",188.341000,-76.835000,270.000000,top
"R15","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",187.071000,-80.772000,270.000000,top
"R16","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",185.801000,-76.835000,270.000000,top
"R17","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.531000,-80.772000,270.000000,top
"R18","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",183.261000,-76.835000,270.000000,top
"R19","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",181.991000,-80.772000,270.000000,top
"R20","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.721000,-76.835000,270.000000,top
"R22","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",193.802000,-68.580000,180.000000,top
"R24","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",193.802000,-66.167000,180.000000,top
"R26","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",193.802000,-63.627000,180.000000,top
"R28","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",193.802000,-60.960000,180.000000,top
"R29","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.240000,-123.190000,0.000000,top
"R30","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",134.086000,-136.271000,0.000000,top
"R31","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",134.086000,-138.811000,0.000000,top
"R32","open/120","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",138.303000,-140.171500,90.000000,top
"R33","short/82","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",141.097000,-140.171500,90.000000,top
"R34","open/120","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",141.097000,-134.656500,270.000000,top
"R35","51/82","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",138.303000,-134.656500,270.000000,top
"R38","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.227000,-142.240000,0.000000,top
"R39","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.227000,-144.145000,0.000000,top
"R41","110","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",169.418000,-143.240000,90.000000,top
"U5","74LVC06","TSSOP-14_4.4x5mm_P0.65mm",138.430000,-106.045000,0.000000,top
"U6","74LVC3G17","TSSOP-8_3x3mm_P0.65mm",151.511000,-106.299000,0.000000,top
"U11","MC10EPT20","MC10EPT20_TSSOP_SOIC",120.650000,-123.530000,0.000000,top
"U12","LTC6957xMS-2","MSOP-12_3x4mm_P0.65mm",150.486000,-137.388000,0.000000,top
